화장실명,소재지도로명주소,위도,경도
강동구의회 화장실,서울특별시 강동구 성내로 55,37.5298083,127.1213413
삼표에너지 고덕주유소,서울특별시 강동구 고덕로 39,37.5562407,127.1625644
㈜소모에너지 신월주유소,서울특별시 강동구 양재대로 1323,37.5374841,127.139866
대성석유㈜ 길동주유소,서울특별시 강동구 천호대로 1168,37.5470565,127.1743539
지에스칼텍스㈜동서울주유소,서울특별시 강동구 천호대로 1456,37.5470565,127.1743539
광성주유소,서울특별시 강동구 올림픽로 673,37.5314739,127.120885
재건에너지재정제2주유소고속셀프지점,서울특별시 강동구 천호대로 1246,37.5470565,127.1743539
㈜소모에너지 성내주유소,서울특별시 강동구 올림픽로 578,37.5314739,127.120885
명일주유소,서울특별시 강동구 고덕로168,37.5545,127.1441
천호 현대주유소,서울특별시 강동구 천중로 67,37.5416794,127.1372619
(주)지유에너지직영 오렌지주유소,서울특별시 강동구 성안로 102,37.5340183,127.133707
구천면 주유소,서울특별시 강동구 구천면로 357,37.5494,127.15741
㈜퍼스트오일 코알라주유소,서울특별시 강동구 올림픽로 556,37.5314739,127.120885
방아다리 주유소,서울특별시 강동구 동남로 811,37.55187,127.1563209
해뜨는 주유소,서울특별시 강동구 상일로 132,37.5470226,127.173524
복지상일충전소 화장실,서울특별시 강동구 천호대로 1452,37.545085,127.170155
복지둔촌충전소 화장실,서울특별시 강동구 동남로 563,37.5228928,127.1461625
비자인터내셔날㈜암사충전소 화장실,서울특별시 강동구 올림픽로 791,37.5314739,127.120885
서울 암사동 유적 화장실,서울특별시 강동구 올림픽로 875,37.5616607,127.1311835
강동구보건소 화장실,서울특별시 강동구 성내로 45,37.5298083,127.1213413
강일동주민센터 화장실,서울특별시 강동구 아리수로93길9-14,37.5652,127.1739
상일1동 주민센터 화장실,서울특별시 강동구 구천면로 633,37.55059715,127.1682794
상일2동주민센터 화장실,서울특별시 강동구 상일로6길 51,37.5495739,127.1757562
명일1동 주민센터 화장실,서울특별시 강동구 양재대로1634,37.55162,127.1442
명일2동주민센터 화장실,서울특별시 강동구 상암로 260,37.549274,127.131724
고덕1동주민센터 화장실,서울특별시 강동구 양재대로156길 123,37.5563113,127.1487911
고덕2동주민센터 화장실,서울특별시 강동구 아리수로78길 43-12,37.5605039,127.1643845
암사1동주민센터 화장실,서울특별시 강동구 올림로98가길 57,37.5514726,127.132669
암사1동 자치회관 화장실,서울특별시 고덕로24길 49,37.5534081,127.1355607
암사2동주민센터 화장실,서울특별시 강동구 상암로3길 28,37.552662,127.1273471
암사3동주민센터 화장실,서울특별시 강동구 고덕로 137,37.554981999999995,127.14082390229837
천호1동주민센터 화장실,서울특별시 강동구 구천면로42길 59,37.5454606,127.1356947
천호2동주민센터 화장실(임시청사),서울특별시 강동구 올림픽로 698,37.5314739,127.120885
성내3동 주민센터 화장실,서울특별시 강동구 강동대로53길 76,37.5248662,127.1322197
둔촌2동주민센터 화장실,서울특별시 강동구 천호대로186길 7,37.5324645,127.1431736
중앙관 2층 로비 화장실,서울특별시 강동구 진황도로 61길 53,37.5306445,127.148223
온조대왕문화체육관 화장실,서울특별시  강동구 고덕로 285,37.5581855,127.1586598
강동유소년스포츠센터 화장실,서울특별시 강동구 상일로12길 60,37.5551937,127.1738359
명일테니스장 화장실,서울특별시 강동구 동남로 785,37.55187,127.1563209
강일테니스장 화장실,서울특별시 강동구 아리수로93가길 314,37.5753664,127.169574
고덕어울림수영장 화장실,서울특별시 강동구 고덕로399,37.5577148,127.1700554
샘터배드민턴장 화장실,서울특별시 강동구 동남로 990,37.55187,127.1563209
강동구민회관 화장실,서울특별시 강동구 상암로 168,37.549274,127.131724
민속의집 화장실,서울특별시 강동구 고덕로83길 55,37.5613409,127.1662093
강동그린웨이가족캠핑장 화장실,서울특별시 강동구 천호대로206길 87,37.537848,127.1548599
해공문화체육관 화장실,서울특별시 강동구 천중로 18길 61,37.5421191,127.1298669
일자산1체육관 화장실,서울특별시 강동구 동남로 660,37.55187,127.1563209
일자산2체육관 화장실,서울특별시 강동구 동남로 620,37.55187,127.1563209
서울 암사동 유적 화장실,서울특별시 강동구 올림픽로 875,37.5616607,127.1311835
안말공영주차장 화장실,서울특별시 강동구 풍성로45길 11,37.5323038,127.130585
천호1동공영주차장 화장실,서울특별시 강동구 구천면로 42길 60,37.54489,127.1367
천호3동 공영주차장 화장실,서울특별시 강동구 진황도로29길 34,37.5388547,127.1325441
천호3동제2 공영주차장 화장실,서울특별시 강동구 성안로31마길 1,37.5405149,127.1336703
암사1동공영주차장 화장실,서울특별시 강동구 고덕로28길 36,37.5540043,127.1374573
명일동공영주차장 화장실,서울특별시 강동구 구천면로 395,37.5494,127.15741
천호유수지공영주차장 화장실,서울특별시 강동구 선사로 70,37.5554927,127.1254467
강일동공영주차장 화장실,서울특별시 강동구 아리수로91길 54,37.5662181,127.1718446
서경빌딩,서울특별시 강동구 성내로 19,37.5298083,127.1213413
브라운스톤 천호,서울특별시 강동구 천호대로 1006,37.5470565,127.1743539
홍익빌딩,서울특별시 강동구 천호대로 1124,37.5470565,127.1743539
선린빌딩,서울특별시 강동구 양재대로 1448,37.5374841,127.139866
동우빌딩,서울특별시 강동구 양재대로 1443,37.5374841,127.139866
중부빌딩,서울특별시 강동구 천호대로 1135,37.5470565,127.1743539
일성오피스텔,서울특별시 강동구 천호대로 1121,37.5470565,127.1743539
힐탑오피스텔,서울특별시 강동구 천호대로 1073,37.5470565,127.1743539
501타워,서울특별시 강동구 올림픽로 782,37.5314739,127.120885
의정부 부대찌개,서울특별시 강동구 올림픽로 795,37.5522246,127.1279643
태성프라자,서울특별시 강동구 올림픽로 787,37.5314739,127.120885
삼정빌딩,서울특별시 강동구 올림픽로 769,37.5314739,127.120885
신라빌딩,서울특별시 강동구 천호대로 997,37.5470565,127.1743539
웰빙메디컬빌딩,서울특별시 강동구 천호대로 1128,37.5470565,127.1743539
남해빌딩,서울특별시 강동구 양재대로 1517,37.5374841,127.139866
시온캐슬빌딩,서울특별시 강동구 양재대로 1661,37.5374841,127.139866
강동그린타워,서울특별시 강동구 천호대로 1139,37.5470565,127.1743539
소망빌딩,서울특별시 강동구 성안로 71,37.5340183,127.133707
강일타워오피스텔,서울특별시 강동구 아리수로93길 27,37.5683206,127.174389
